UserId,Date,FAttacker1,FAttacker2,FAttacker3,FAttacker4,FSpecial1,FSpecial2,Formation,EAttacker1,EAttacker2,EAttacker3,EAttacker4,ESpecial1,ESpecial2,Result,Note,Title,Link,Bv,Check
NoData,2025-01-02,Aru,Yuuka,Tsubaki,Shun,Nodoka(HS),Hibiki,进攻,Shun,Cherino,Yuuka,Tsubaki,Utaha,Iroha,胜利,,,,,0
NoData,2025-01-02,Aru,Yuuka,Tsubaki,Shun,Utaha,Iroha,进攻,Shun,Cherino,Marina,Yuuka,Utaha,Iroha,胜利,,,,,0
NoData,2025-01-02,Aru,Tsubaki,Tsurugi,Yuuka,Hibiki,Nodoka(HS),进攻,Shun,Tsubaki,Cherino,Yuuka,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Shiroko,Tsubaki,Tsurugi,Yuuka,Hibiki,Nodoka(HS),进攻,Shun,Tsubaki,Cherino,Yuuka,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Shiroko(CC),Tsubaki,Tsurugi,Yuuka,Hibiki,Nodoka(HS),进攻,Shun,Tsubaki,Cherino,Yuuka,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Shiroko,Yuuka,Tsurugi,Shun,Nodoka(HS),Hibiki,进攻,Shun,Marina,Cherino,Yuuka,Iroha,Nodoka(HS),胜利,,,,,0
NoData,2025-01-02,Yuuka,Tsubaki,Shun,Shiroko(CC),Cherino(HS),Utaha,进攻,Shun,Yuuka,Tsubaki,Cherino,Utaha,Iroha,胜利,,,,,0
NoData,2025-01-02,Yuuka,Shun,Atsuko,Shiroko(CC),Cherino(HS),Utaha,进攻,Shun,Yuuka,Tsubaki,Cherino,Utaha,Iroha,胜利,,,,,0
NoData,2025-01-02,Yuuka,Shun,Marina,Shiroko(CC),Mashiro(SS),Ayane(SS),进攻,Shun,Yuuka,Tsubaki,Cherino,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Chise,Tsubaki,Aru,Tsurugi,Nodoka(HS),Hibiki,进攻,Shun,Yuuka,Tsubaki,Cherino,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Tsurugi,Atsuko,Yuuka,Shun,Iroha,Utaha,进攻,Shun,Yuuka,Tsubaki,Cherino,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Tsurugi,Yuuka,Miyako,Shiroko(CC),Nodoka(HS),Hibiki,进攻,Shun,Atsuko,Yuuka,Cherino,Iroha,Utaha,胜利,,,,,0
NoData,2025-01-02,Shiroko(CC),Yuuka,Tsurugi,Aru,Hibiki,Mashiro(SS),进攻,Shun,Atsuko,Yuuka,Cherino,Iroha,Utaha,胜利,,,,,0
